철도운영기관명,선명,역명,철도운영기관코드,선코드,역코드,출입구번호,위치,시작층명,시작운행층수,종료층명,종료운행층수,정원수,정원무게,승강기상태,승강기번호
,인천2호선,서구청,IC,I2,210,3,(1F) 3번 출입구 근처(B1) 3번 출입구 계단 옆,지하,1,지상,1,17,1150.00,,
,김포골드라인,사우(김포시청),GM,G1,G106,,(B2) 대합실 표 내는 곳(B5) 승강장,지하,5,지하,2,24,1600.00,,
,김포골드라인,사우(김포시청),GM,G1,G106,,(B2) 대합실 표 내는 곳(B5) 승강장,지하,5,지하,2,24,1600.00,,
,4호선,선바위,KR,4,435,1,(1F) 1번출구 뒤,지하,1,지상,1,15,1000.00,,
,4호선,경마공원,KR,4,436,,(B2) 당고개 방향 승강장 4-1,지하,2,지하,1,15,1000.00,,
,인천2호선,서부여성회관,IC,I2,214,2,(B1) 대합실 2번 출입구 방향(1F) 2번 출입구 인근,지하,1,지상,1,17,1150.00,,
,인천2호선,서부여성회관,IC,I2,214,2,(B1) 대합실 2번 출입구 방향(1F) 2번 출입구 인근,지하,1,지상,1,17,1150.00,,
,인천2호선,인천가좌,IC,I2,215,,(B3) 서부여성회관역 방향 승강장 1-3 출입문 앞(B1) 대합실 상선 방향,지하,3,지하,1,17,1150.00,,
,인천2호선,인천가좌,IC,I2,215,,(B3) 가재울역 방향 승강장 1-3 출입문 앞(B1) 대합실 하선 방향,지하,3,지하,1,17,1150.00,,
,5호선,광나루(장신대),S1,5,2547,1,1번 출구 측,지하,2,지상,1,13,900.00,,
,9호선,공항시장,S9,9,0903,,(B1)대합실 표내는 곳 방향 우측(중앙보훈병원 방면)(B4)상선승강장 1-3 출입구 앞,지하,4,지하,1,15,1000.00,,
,1호선,망월사,KR,1,112,1,화장실 옆,지상,1,지상,2,15,1000.00,,
,7호선,건대입구,S1,7,2729,내부,뚝섬유원지 방면4-1,지하,3,지하,2,15,1000.00,,
,서해선,초지,SW,WS,S26,,(B2) 역무실 측 맞이방 / (B3) 맞이방 측 연결통로,지하,3,지하,1,15,1000.00,,
,서해선,초지,SW,WS,S26,,(B2) 5번 출구 측 맞이방 / (1F) 4호선 환승통로,지하,2,지하,1,15,1000.00,,
,서해선,초지,SW,WS,S26,23,(B2) 2번/3번 출입구 사이 엘리베이터,지하,2,지상,1,15,1000.00,,
,서해선,초지,SW,WS,S26,4,(B2) 4번 출입구 옆 엘리베이터,지하,2,지상,1,15,1000.00,,
,서해선,초지,SW,WS,S26,5,(B2) 5번 출입구 옆 엘리베이터,지하,2,지상,1,15,1000.00,,
,서해선,초지,SW,WS,S26,1,(1F) 4호선 환승통로/ (2F) 4호선 고잔역 방향 승강장,지상,1,지상,1,15,1000.00,,
,서해선,초지,SW,WS,S26,1,(1F) 4호선 환승통로/ (2F)4호선 안산역 방향 승강장,지상,1,지상,1,15,1000.00,,
,8호선,장지,S1,8,2820,3,3번 출구 측,지하,1,지상,1,15,1000.00,,
,서해선,시우,SW,WS,S27,"1,2","(1F) 1,2 출입구 중앙 (B1) 1,2 출입구 중앙",지하,1,지상,1,15,1000.00,,
,서해선,시우,SW,WS,S27,34,"(1F) 3.4 출입구 중앙 (B1) 3,4 출입구 중앙",지하,1,지상,1,15,1000.00,,
,서해선,시우,SW,WS,S27,,"(B1) 개찰구,개집표구 옆 (B3) 상선 승강장 3-4 방향",지하,3,지하,1,15,1000.00,,
,서해선,시우,SW,WS,S27,,"(B1) 개찰구,개집표구 옆 (B3) 하선 승강장 4-1 방향",지하,3,지하,1,15,1000.00,,
,서해선,원시,SW,WS,S28,2,(B1)상선승강장 > (1F) 2번출구 외부,지하,1,지상,1,15,1000.00,,
,7호선,장암,S1,7,2711,1,1번 출구 측,지상,1,지상,2,11,750.00,,
,7호선,마들,S1,7,2714,4,4번 출구 측,지하,1,지상,1,24,1600.00,,
,7호선,마들,S1,7,2714,2,2번 출구 측,지하,1,지상,1,15,1000.00,,
,7호선,노원,S1,7,2715,내부,"마들 방면4-4, 중계 방면4-3",지하,3,지하,1,15,1000.00,,
,7호선,노원,S1,7,2715,3,3번 출구 측,지하,1,지상,1,15,1000.00,,
,7호선,노원,S1,7,2715,6,6번 출구 측,지하,1,지상,1,24,1600.00,,
,7호선,노원,S1,7,2715,5,5번 출구 측,지하,1,지상,1,21,1600.00,,
,7호선,중계,S1,7,2716,내부,"노원 방면5-1, 하계 방면4-4",지하,3,지하,2,15,1000.00,,
,7호선,중계,S1,7,2716,5,5번 출구 측,지하,2,지상,1,11,750.00,,
